SK_ID_CURR,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_WORK_PHONE,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,EXT_SOURCE_2,EXT_SOURCE_3,FLOORSMAX_AVG,YEARS_BEGINEXPLUATATION_MODE,TOTALAREA_MODE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,AMT_REQ_CREDIT_BUREAU_YEAR,Bureau_CB_DAYS_CREDIT__abs_min,Bureau_CB_DAYS_CREDIT_ENDDATE__max,Bureau_CB_DAYS_ENDDATE_FACT__min,Bureau_CB_AMT_CREDIT_MAX_OVERDUE__mean,Bureau_CB_AMT_CREDIT_MAX_OVERDUE__max,Bureau_CB_AMT_CREDIT_SUM__mean,Bureau_CB_AMT_CREDIT_SUM__sum,Bureau_CB_AMT_CREDIT_SUM_DEBT__sum,Bureau_CB_AMT_CREDIT_SUM_LIMIT__sum,Bureau_CB_STATUS__size__sum,Bureau_CB_CR_TY_Car loan__sum,Bureau_CB_CR_TY_Microloan__sum,Bureau_CB_CR_TY_Mortgage__sum,Bureau_CB_CR_ACT_Active__sum,Bureau_CB_CR_ACT_Closed__sum,PA_PrLCash_CNT_INSTALMENT_FUTURE__max__max,PA_PrLCash_CNT_INSTALMENT__max__max,PA_PrLI_DELAY_DAYS_INSTALMENT__max__max,PA_PrLI_AMT_INSTALMENT__max__max,PA_PrLI_NUM_INSTALMENT_NUMBER__max__max,PA_PrLI_NUM_INSTALMENT_VERSION__max__max,PA_PrLCash_N_CONTR_ST_Active__sum__sum,PA_PrLI_AMT_INSTALMENT__sum__sum,PA_PrLI_AMT_PAYMENT__sum__sum,PA_PrLCash_SK_DPD_DEF__mean__mean,PA_PrLI_DELAY_DAYS_INSTALMENT__mean__mean,PA_PrLI_AMT_INSTALMENT__mean__mean,PA_PrLCash_MONTHS_BALANCE__abs_min__abs_min,PA_PrLI_DELAY_DAYS_INSTALMENT__amp__amp,PA_PrLI_AMT_INSTALMENT__amp__amp,PA_DAYS_LAST_DUE_1ST_VERSION__min,PA_DAYS_LAST_DUE_1ST_VERSION__max,PA_DAYS_FIRST_DUE__min,PA_DAYS_FIRST_DUE__max,PA_CNT_PAYMENT__sum,PA_CNT_PAYMENT__mean,PA_CNT_PAYMENT__max,PA_AMT_CREDIT__sum,PA_AMT_CREDIT__amp,PA_AMT_CREDIT__mean,PA_AMT_CREDIT__max,PA_AMT_ANNUITY__amp,PA_AMT_ANNUITY__mean,PA_AMT_ANNUITY__max,PA_AMT_PER_MONTH__mean,PA_AMT_PER_MONTH__amp,PA_AMT_PER_MONTH__max,PA_DAYS_TERMINATION__max,PA_DAYS_TOT_DURATION__amp,PA_DAYS_TOT_DURATION__mean,PA_DAYS_TOT_DURATION__max,PA_DAYS_PROLONG_PCT__mean,PA_DAYS_PROLONG_PCT__max,PA_AMT_DIFF_PCT__mean,PA_AMT_DIFF_PCT__max,DAYS_EMPLOYED_PERC,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,Gender_,Name_contract_type,flag_own_car,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,NAME_FAMILY_STATUS_Married,OCCUPATION_TYPE_Drivers,OCCUPATION_TYPE_Laborers,ORGANIZATION_TYPE_Self-employed,target_predit1,target_reel,probabilite_default,type_de_client,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,WEEKDAY_APPR_PROCESS_START,ORGANIZATION_TYPE,FONDKAPREMONT_MODE,HOUSETYPE_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,id
100002,202500.0,406597.5,24700.5,351000.0,0.018801,-9461,-637,-3648.0,-2120,0,2,10,0.2629485927471776,0.1393757800997895,0.0833,0.9722,0.0149,2.0,-1134.0,1,1.0,1437.0,780.0,-1185.0,1681.029,5043.645,108131.945625,865055.565,245781.0,31988.565,110.0,0.0,0.0,0.0,2.0,6.0,24.0,24.0,-12.0,53093.745,19.0,2.0,19.0,219625.695,219625.695,0.0,-20.42105263157895,11559.24710526316,19.0,0.0,0.0,125.0,125.0,-565.0,-565.0,24.0,24.0,24.0,179055.0,0.0,179055.0,179055.0,0.0,9251.775,9251.775,10.74222577742226,0.0,10.74222577742226,-17.0,0.0,548.0,548.0,20.57971014492753,20.57971014492753,0.0,0.0,0.0673290349857309,0.4980355265342261,202500.0,0.1219777777777777,0.0607492667810303,1,1,0,1,0,0,0,1,0,1,1,0.7969911853406835,client à risque,Cash loans,M,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,WEDNESDAY,Business Entity Type 3,reg oper account,block of flats,"Stone, brick",No,100002
100003,270000.0,1293502.5,35698.5,1129500.0,0.0035409999999999,-16765,-1188,-1186.0,-291,0,1,11,0.6222457752555098,0.5108529061800121,0.2917,0.9851,0.0714,0.0,-828.0,1,0.0,2586.0,1216.0,-2131.0,0.0,0.0,254350.125,1017400.5,0.0,810000.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,12.0,-1.0,560835.36,12.0,2.0,26.0,1618864.65,1618864.65,0.0,-7.448412698412699,78558.47928571429,25.0,8.0,462404.025,-1980.0,-386.0,-2310.0,-716.0,30.0,10.0,12.0,1452573.0,967828.5,484191.0,1035882.0,91619.685,56553.99,98356.995,86.47864758975696,173.49383503052604,180.1925636007828,-527.0,176.0,227.0,334.0,12.06060606060606,42.72727272727273,5.7664381662415805,15.098,0.0708619147032508,0.2087355841987162,135000.0,0.1322166666666666,0.0275983231574736,0,1,0,0,1,1,0,0,0,0,0,0.1533564022573346,client peu risqué,Cash loans,F,N,N,Family,State servant,Higher education,Married,House / apartment,Core staff,MONDAY,School,reg oper account,block of flats,Block,No,100003
100004,67500.0,135000.0,6750.0,135000.0,0.010032,-19046,-225,-4260.0,-2531,1,2,9,0.5559120833904428,0.7295666907060153,0.2262819070368362,0.9770653729428284,0.10254666268544,0.0,-815.0,0,0.0,1326.0,-382.0,-683.0,0.0,0.0,94518.9,189037.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,-3.0,10573.965,3.0,2.0,3.0,21288.465,21288.465,0.0,-7.666666666666667,7096.155,27.0,0.0,0.0,-694.0,-694.0,-784.0,-784.0,4.0,4.0,4.0,20106.0,0.0,20106.0,20106.0,0.0,5357.25,5357.25,9.443131115459884,0.0,9.443131115459884,-714.0,0.0,70.0,70.0,22.22222222222222,22.22222222222222,-17.19792438843588,-17.19792438843588,0.0118135041478525,0.5,67500.0,0.1,0.05,1,0,1,1,0,0,0,1,0,0,0,0.2730178415645426,client peu risqué,Revolving loans,M,Y,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,MONDAY,Government,,,,,100004
100006,135000.0,312682.5,29686.5,297000.0,0.008019,-19005,-3039,-9833.0,-2437,0,2,17,0.6504416904014653,0.5108529061800121,0.2262819070368362,0.9770653729428284,0.10254666268544,0.0,-617.0,1,1.899974435321363,1762.3748818745232,4433.041953437809,-1467.338777104903,5242.425045552677,9396.225567400488,378080.2007892988,1955806.586054564,640650.2566342063,23563.474713451127,55.79549965653476,0.0,0.0341757403478676,0.0,2.0566888432621986,3.4829766481587607,48.0,48.0,-1.0,691786.89,10.0,2.0,18.0,1007153.415,1007153.415,0.0,-25.3,241944.225,6.0,64.0,12676.725,-215.0,365243.0,-545.0,365243.0,72.0,18.0,48.0,1237149.0,650781.0,309287.25,675000.0,26544.6,17314.11,29027.52,inf,inf,inf,365243.0,365524.0,91415.25,365524.0,-36834.83558994198,99.43262411347516,-7.50222507491722,0.0,0.1599052880820836,0.4317478592501979,67500.0,0.2199,0.0949413542491185,0,1,0,1,0,0,0,1,0,0,0,0.199794896336124,client peu risqué,Cash loans,F,N,Y,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,WEDNESDAY,Business Entity Type 3,,,,,100006
100007,121500.0,513000.0,21865.5,513000.0,0.028663,-19932,-3038,-4311.0,-3458,0,2,11,0.3227382869704046,0.5108529061800121,0.2262819070368362,0.9770653729428284,0.10254666268544,0.0,-1106.0,0,0.0,1149.0,-783.0,-783.0,0.0,0.0,146250.0,146250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,24.0,12.0,22678.785,17.0,2.0,62.0,835985.34,806127.975,0.0,-2.887220426632191,12122.995737944408,12.0,34.0,463.4999999999982,-2056.0,346.0,-2326.0,-344.0,76.0,15.2,24.0,715432.5,259672.5,143086.5,274288.5,20844.495,12132.369,22678.785,7.579033146693634,21.034477567510766,21.059143937238325,365243.0,365302.0,73407.0,365587.0,-10577.903484977654,4.509803921568627,0.2827186891733682,10.823636363636364,0.1524182219546458,0.2368421052631578,121500.0,0.1799629629629629,0.0426228070175438,1,1,0,1,0,0,0,0,0,0,0,0.4375517109669271,client peu risqué,Cash loans,M,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,THURSDAY,Religion,,,,,100007
100008,99000.0,490495.5,27517.5,454500.0,0.035792,-16941,-1588,-4970.0,-477,1,2,16,0.3542247319929012,0.6212263380626669,0.2262819070368362,0.9770653729428284,0.10254666268544,0.0,-2536.0,1,1.0,1097.0,471.0,-1028.0,0.0,0.0,156148.5,468445.5,240057.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,30.0,30.0,1317.0,432218.295,10.0,2.0,78.0,969603.75,957617.595,0.0,17.070075757575758,28547.51239772727,12.0,1337.0,406899.0,-2341.0,261.0,-2491.0,-339.0,56.0,14.0,30.0,813838.5,462019.5,203459.625,501975.0,17290.485,15839.69625,25309.575,26.218868086224845,72.42379492088556,74.67550982458316,-66.0,1439.0,561.75,1596.0,-105.57279693486588,74.59770114942529,-2.143120508148598,11.55,0.0937370875391063,0.2018367140982944,49500.0,0.2779545454545454,0.0561014321232304,1,1,0,0,0,1,0,1,0,0,0,0.3597214686758903,client peu risqué,Cash loans,M,N,Y,"Spouse, partner",State servant,Secondary / secondary special,Married,House / apartment,Laborers,WEDNESDAY,Other,,,,,100008
100009,171000.0,1560726.0,41301.0,1395000.0,0.035792,-13778,-3130,-1213.0,-619,0,2,16,0.7239998516953141,0.4920600938649263,0.2262819070368362,0.9770653729428284,0.10254666268544,0.0,-1562.0,0,2.0,2882.0,1402.0,-2152.0,0.0,0.0,266711.75,4800811.5,1077349.5,0.0,0.0,0.0,0.0,0.0,4.0,14.0,12.0,12.0,-1.0,17341.605,12.0,1.0,48.0,463368.78,463368.78,0.0,-9.673809523809524,10050.262714285716,2.0,16.0,18.40499999999884,-1330.0,227.0,-1531.0,-43.0,56.0,8.0,12.0,490963.5,59665.5,70137.64285714286,98239.5,9905.759999999998,10051.412142857142,17341.605,9.315348204105655,19.359652235791305,19.36762935171451,365243.0,365131.0,52361.142857142855,365286.0,-19316.42712842713,-1.2121212121212122,-8.377408879612938,0.0,0.2271737552620119,0.109564395031543,57000.0,0.2415263157894736,0.0264626846736711,0,1,1,0,1,1,0,0,0,0,0,0.0904801276770281,client peu risqué,Cash loans,F,Y,Y,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,Accountants,SUNDAY,Business Entity Type 3,,,,,100009
100010,360000.0,1530000.0,42075.0,1530000.0,0.0031219999999999,-18850,-449,-4597.0,-2379,1,3,16,0.7142792864482229,0.5406544504453575,0.2262819070368362,0.9770653729428284,0.10254666268544,0.0,-1070.0,1,0.0,2741.0,689.0,-1138.0,5242.425045552677,9396.225567400488,495000.0,990000.0,348007.5,0.0,72.0,0.0,0.0,0.0,1.0,1.0,10.0,10.0,-5.0,27463.41,10.0,1.0,10.0,274492.08,274492.08,0.0,-11.9,27449.208,35.0,0.0,0.0,-769.0,-769.0,-1039.0,-1039.0,10.0,10.0,10.0,260811.0,0.0,260811.0,260811.0,0.0,27463.41,27463.41,30.955264329162755,0.0,30.955264329162755,-762.0,0.0,277.0,277.0,-2.592592592592593,-2.592592592592593,5.500946555992428,5.500946555992428,0.0238196286472148,0.2352941176470588,180000.0,0.116875,0.0275,1,1,1,0,1,1,0,0,0,0,0,0.1948045348450682,client peu risqué,Cash loans,M,Y,Y,Unaccompanied,State servant,Higher education,Married,House / apartment,Managers,MONDAY,Other,,,,,100010
100011,112500.0,1019610.0,33826.5,913500.0,0.018634,-20099,365243,-7427.0,-3514,0,2,14,0.2057472880073281,0.7517237147741489,0.2262819070368362,0.9770653729428284,0.10254666268544,0.0,0.0,1,1.0,2508.0,-860.0,-2197.0,5073.615,10147.23,108807.075,435228.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,30.0,958.0,31295.25,30.0,1.0,73.0,1405892.925,1113806.0699999998,0.2888888888888888,23.74324324324324,22947.143501589824,39.0,945.0,371.880000000001,-2147.0,-289.0,-2477.0,-1159.0,42.0,21.0,30.0,867361.5,598468.5,433680.75,732915.0,16680.915,22954.7925,31295.25,15.465243652411814,24.082836020378096,27.506661662600862,-283.0,415.0,1083.5,1291.0,-145.95088819226748,-0.6896551724137931,3.7437689939418015,8.58,-18.172197621772227,0.1103363050578162,56250.0,0.30068,0.0331759202047841,0,1,0,0,0,1,0,0,0,1,0,0.5028312401960915,client à risque,Cash loans,F,N,Y,Children,Pensioner,Secondary / secondary special,Married,House / apartment,,WEDNESDAY,XNA,,,,,100011
100012,135000.0,405000.0,20250.0,405000.0,0.0196889999999999,-14469,-2019,-14437.0,-3992,0,2,8,0.7466436294590924,0.5108529061800121,0.2262819070368362,0.9770653729428284,0.10254666268544,0.0,-1673.0,0,1.899974435321363,1762.3748818745232,4433.041953437809,-1467.338777104903,5242.425045552677,9396.225567400488,378080.2007892988,1955806.586054564,640650.2566342063,23563.474713451127,55.79549965653476,0.0,0.0341757403478676,0.0,2.0566888432621986,3.4829766481587607,23.0,24.0,14.0,49204.89,23.0,4.0,43.0,460056.1499999999,501661.71,0.0,-22.394327894327898,8743.123277972027,17.0,50.0,36314.01,-1311.0,33.0,-1641.0,-477.0,54.0,18.0,24.0,296478.0,134811.0,98826.0,158508.0,8175.96,7894.155,11188.035,7.437138732690637,8.089095113528082,11.28204368752314,-137.0,421.0,414.0,665.0,21.46322560644812,34.705882352941174,23.65662393162393,26.97,0.1395397055774414,0.3333333333333333,135000.0,0.15,0.05,1,0,0,1,0,0,0,1,0,0,0,0.3283067636039367,client peu risqué,Revolving loans,M,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,THURSDAY,Electricity,,,,,100012
